,Unnamed: 0,Melhor janela temporal,Início da janela,Fim da janela,Posto,Ano Inicial,Ano Final,Média Série
0,0,Melhor janela de dados (37440000) para 30 anos:,1992-01-01,2022-01-01,37440000,1992,2022,2007.0
1,1,Melhor janela de dados (37220000) para 30 anos:,1990-01-01,2020-01-01,37220000,1990,2020,2005.0
2,2,Melhor janela de dados (37360000) para 30 anos:,1993-01-01,2023-01-01,37360000,1993,2023,2008.0
3,3,Melhor janela de dados (37260000) para 30 anos:,1993-01-01,2023-01-01,37260000,1993,2023,2008.0
4,4,Melhor janela de dados (36210000) para 30 anos:,1985-01-01,2015-01-01,36210000,1985,2015,2000.0
5,5,Melhor janela de dados (39760000) para 30 anos:,1990-01-01,2020-01-01,39760000,1990,2020,2005.0
6,6,Melhor janela de dados (39140000) para 30 anos:,1985-01-01,2015-01-01,39140000,1985,2015,2000.0
7,7,Melhor janela de dados (39150000) para 30 anos:,1985-01-01,2015-01-01,39150000,1985,2015,2000.0
8,8,Melhor janela de dados (39360000) para 30 anos:,1968-01-01,1998-01-01,39360000,1968,1998,1983.0
9,9,Melhor janela de dados (39084020) para 30 anos:,1974-01-01,2004-01-01,39084020,1974,2004,1989.0
10,10,Melhor janela de dados (39560000) para 30 anos:,1977-01-01,2007-01-01,39560000,1977,2007,1992.0
11,11,Melhor janela de dados (39170000) para 30 anos:,1992-01-01,2022-01-01,39170000,1992,2022,2007.0
12,12,Melhor janela de dados (35570000) para 30 anos:,1986-01-01,2016-01-01,35570000,1986,2016,2001.0
13,13,Melhor janela de dados (37340000) para 30 anos:,1992-01-01,2022-01-01,37340000,1992,2022,2007.0
14,14,Melhor janela de dados (37380000) para 30 anos:,1974-01-01,2004-01-01,37380000,1974,2004,1989.0
15,15,Melhor janela de dados (35950000) para 30 anos:,1993-01-01,2023-01-01,35950000,1993,2023,2008.0
16,16,Melhor janela de dados (38170000) para 30 anos:,1970-01-01,2000-01-01,38170000,1970,2000,1985.0
17,17,Melhor janela de dados (38895000) para 30 anos:,1992-01-01,2022-01-01,38895000,1992,2022,2007.0
18,18,Melhor janela de dados (38790000) para 30 anos:,1970-01-01,2000-01-01,38790000,1970,2000,1985.0
19,19,Melhor janela de dados (38880000) para 30 anos:,1971-01-01,2001-01-01,38880000,1971,2001,1986.0
20,20,Melhor janela de dados (38850000) para 30 anos:,1979-01-01,2009-01-01,38850000,1979,2009,1994.0
21,21,Melhor janela de dados (38860000) para 30 anos:,1970-01-01,2000-01-01,38860000,1970,2000,1985.0
22,22,Melhor janela de dados (39310000) para 30 anos:,1985-01-01,2015-01-01,39310000,1985,2015,2000.0
23,23,Melhor janela de dados (36125000) para 30 anos:,1976-01-01,2006-01-01,36125000,1976,2006,1991.0
24,24,Melhor janela de dados (36160000) para 30 anos:,1974-01-01,2004-01-01,36160000,1974,2004,1989.0
25,25,Melhor janela de dados (37430000) para 30 anos:,1993-01-01,2023-01-01,37430000,1993,2023,2008.0
26,26,Melhor janela de dados (35170000) para 30 anos:,1993-01-01,2023-01-01,35170000,1993,2023,2008.0
27,27,Melhor janela de dados (36390000) para 30 anos:,1983-01-01,2013-01-01,36390000,1983,2013,1998.0
28,28,Melhor janela de dados (36270000) para 30 anos:,1969-01-01,1999-01-01,36270000,1969,1999,1984.0
29,29,Melhor janela de dados (35260000) para 30 anos:,1991-01-01,2021-01-01,35260000,1991,2021,2006.0
30,30,Melhor janela de dados (36290000) para 30 anos:,1984-01-01,2014-01-01,36290000,1984,2014,1999.0
31,31,Melhor janela de dados (38380000) para 30 anos:,1993-01-01,2023-01-01,38380000,1993,2023,2008.0
32,32,Melhor janela de dados (35240000) para 30 anos:,1988-01-01,2018-01-01,35240000,1988,2018,2003.0
33,33,Melhor janela de dados (35275000) para 30 anos:,1993-01-01,2023-01-01,35275000,1993,2023,2008.0
34,34,Melhor janela de dados (38750000) para 30 anos:,1974-01-01,2004-01-01,38750000,1974,2004,1989.0
35,35,Melhor janela de dados (36520000) para 30 anos:,1989-01-01,2019-01-01,36520000,1989,2019,2004.0
36,36,Melhor janela de dados (37030000) para 30 anos:,1973-01-01,2003-01-01,37030000,1973,2003,1988.0
37,37,Melhor janela de dados (36020000) para 30 anos:,1989-01-01,2019-01-01,36020000,1989,2019,2004.0
38,38,Melhor janela de dados (36250000) para 30 anos:,1974-01-01,2004-01-01,36250000,1974,2004,1989.0
39,39,Melhor janela de dados (35210000) para 30 anos:,1993-01-01,2023-01-01,35210000,1993,2023,2008.0
40,40,Melhor janela de dados (35235000) para 30 anos:,1987-01-01,2017-01-01,35235000,1987,2017,2002.0
41,41,Melhor janela de dados (39130000) para 30 anos:,1976-01-01,2006-01-01,39130000,1976,2006,1991.0
42,42,Melhor janela de dados (37080000) para 30 anos:,1992-01-01,2022-01-01,37080000,1992,2022,2007.0
43,43,Melhor janela de dados (37410000) para 30 anos:,1974-01-01,2004-01-01,37410000,1974,2004,1989.0
44,44,Melhor janela de dados (39145000) para 30 anos:,1986-01-01,2016-01-01,39145000,1986,2016,2001.0
45,45,Melhor janela de dados (35370000) para 30 anos:,1993-01-01,2023-01-01,35370000,1993,2023,2008.0
46,46,Melhor janela de dados (36470000) para 30 anos:,1993-01-01,2023-01-01,36470000,1993,2023,2008.0
47,47,Melhor janela de dados (36580000) para 30 anos:,1985-01-01,2015-01-01,36580000,1985,2015,2000.0
48,48,Melhor janela de dados (39340000) para 30 anos:,1973-01-01,2003-01-01,39340000,1973,2003,1988.0
49,49,Melhor janela de dados (37570000) para 30 anos:,1992-01-01,2022-01-01,37570000,1992,2022,2007.0
50,50,Melhor janela de dados (37470000) para 30 anos:,1992-01-01,2022-01-01,37470000,1992,2022,2007.0
51,51,Melhor janela de dados (39770000) para 30 anos:,1975-01-01,2005-01-01,39770000,1975,2005,1990.0
52,52,Melhor janela de dados (35125000) para 30 anos:,1993-01-01,2023-01-01,35125000,1993,2023,2008.0
53,53,Melhor janela de dados (37185000) para 30 anos:,1975-01-01,2005-01-01,37185000,1975,2005,1990.0
54,54,Melhor janela de dados (38680000) para 30 anos:,1975-01-01,2005-01-01,38680000,1975,2005,1990.0
55,55,Melhor janela de dados (36320000) para 30 anos:,1978-01-01,2008-01-01,36320000,1978,2008,1993.0
56,56,Melhor janela de dados (38485000) para 30 anos:,1978-01-01,2008-01-01,38485000,1978,2008,1993.0
57,57,Melhor janela de dados (39980000) para 30 anos:,1978-01-01,2008-01-01,39980000,1978,2008,1993.0
58,58,Melhor janela de dados (39083000) para 30 anos:,1978-01-01,2008-01-01,39083000,1978,2008,1993.0
59,59,Melhor janela de dados (39870000) para 30 anos:,1993-01-01,2023-01-01,39870000,1993,2023,2008.0
60,60,Melhor janela de dados (39540000) para 30 anos:,1978-01-01,2008-01-01,39540000,1978,2008,1993.0
61,61,Melhor janela de dados (36130000) para 30 anos:,1992-01-01,2022-01-01,36130000,1992,2022,2007.0
62,62,Melhor janela de dados (36045000) para 30 anos:,1980-01-01,2010-01-01,36045000,1980,2010,1995.0
63,63,Melhor janela de dados (37515000) para 30 anos:,1990-01-01,2020-01-01,37515000,1990,2020,2005.0
64,64,Melhor janela de dados (38650000) para 30 anos:,1990-01-01,2020-01-01,38650000,1990,2020,2005.0
65,65,Melhor janela de dados (39185000) para 30 anos:,1961-01-01,1991-01-01,39185000,1961,1991,1976.0
66,66,Melhor janela de dados (37290000) para 30 anos:,1993-01-01,2023-01-01,37290000,1993,2023,2008.0
67,67,Melhor janela de dados (38500000) para 30 anos:,1992-01-01,2022-01-01,38500000,1992,2022,2007.0
68,68,Melhor janela de dados (35668000) para 30 anos:,1991-01-01,2021-01-01,35668000,1991,2021,2006.0
69,69,Melhor janela de dados (35258000) para 30 anos:,1993-01-01,2023-01-01,35258000,1993,2023,2008.0
70,70,Melhor janela de dados (35740000) para 30 anos:,1985-01-01,2015-01-01,35740000,1985,2015,2000.0
71,71,Melhor janela de dados (35830000) para 30 anos:,1987-01-01,2017-01-01,35830000,1987,2017,2002.0
72,72,Melhor janela de dados (37710150) para 30 anos:,1986-01-01,2016-01-01,37710150,1986,2016,2001.0
73,73,Melhor janela de dados (39200000) para 30 anos:,1992-01-01,2022-01-01,39200000,1992,2022,2007.0
74,74,Melhor janela de dados (39100000) para 30 anos:,1990-01-01,2020-01-01,39100000,1990,2020,2005.0
75,75,Melhor janela de dados (37084000) para 30 anos:,1987-01-01,2017-01-01,37084000,1987,2017,2002.0
76,76,Melhor janela de dados (37711000) para 30 anos:,1992-01-01,2022-01-01,37711000,1992,2022,2007.0
77,77,Melhor janela de dados (37090000) para 30 anos:,1990-01-01,2020-01-01,37090000,1990,2020,2005.0
78,78,Melhor janela de dados (35263000) para 30 anos:,1989-01-01,2019-01-01,35263000,1989,2019,2004.0
79,79,Melhor janela de dados (37190000) para 30 anos:,1987-01-01,2017-01-01,37190000,1987,2017,2002.0
80,80,Melhor janela de dados (37150000) para 30 anos:,1992-01-01,2022-01-01,37150000,1992,2022,2007.0
81,81,Melhor janela de dados (37761000) para 30 anos:,1992-01-01,2022-01-01,37761000,1992,2022,2007.0
82,82,Melhor janela de dados (37559000) para 30 anos:,1992-01-01,2022-01-01,37559000,1992,2022,2007.0
83,83,Melhor janela de dados (39580000) para 30 anos:,1990-01-01,2020-01-01,39580000,1990,2020,2005.0
84,84,Melhor janela de dados (39480000) para 30 anos:,1990-01-01,2020-01-01,39480000,1990,2020,2005.0
85,85,Melhor janela de dados (39860000) para 30 anos:,1993-01-01,2023-01-01,39860000,1993,2023,2008.0
86,86,Melhor janela de dados (39188000) para 30 anos:,1959-01-01,1989-01-01,39188000,1959,1989,1974.0
87,87,Melhor janela de dados (37260001) para 30 anos:,1929-01-01,1959-01-01,37260001,1929,1959,1944.0
88,88,Melhor janela de dados (39187800) para 30 anos:,1990-01-01,2020-01-01,39187800,1990,2020,2005.0
89,89,Melhor janela de dados (39740000) para 30 anos:,1991-01-01,2021-01-01,39740000,1991,2021,2006.0
90,90,Melhor janela de dados (39720000) para 30 anos:,1993-01-01,2023-01-01,39720000,1993,2023,2008.0
91,91,Melhor janela de dados (39155000) para 30 anos:,1968-01-01,1998-01-01,39155000,1968,1998,1983.0
92,92,Melhor janela de dados (39700000) para 30 anos:,1992-01-01,2022-01-01,39700000,1992,2022,2007.0
93,93,Melhor janela de dados (37490000) para 30 anos:,1985-01-01,2015-01-01,37490000,1985,2015,2000.0
94,94,Melhor janela de dados (39180000) para 30 anos:,1965-01-01,1995-01-01,39180000,1965,1995,1980.0
95,95,Melhor janela de dados (35650000) para 30 anos:,1969-01-01,1999-01-01,35650000,1969,1999,1984.0
96,96,Melhor janela de dados (36070000) para 30 anos:,1993-01-01,2023-01-01,36070000,1993,2023,2008.0
97,97,Melhor janela de dados (35880000) para 30 anos:,1965-01-01,1995-01-01,35880000,1965,1995,1980.0
98,98,Melhor janela de dados (36260000) para 30 anos:,1993-01-01,2023-01-01,36260000,1993,2023,2008.0
99,99,Melhor janela de dados (39640000) para 30 anos:,1973-01-01,2003-01-01,39640000,1973,2003,1988.0
100,100,Melhor janela de dados (35050000) para 30 anos:,1993-01-01,2023-01-01,35050000,1993,2023,2008.0
101,101,Melhor janela de dados (36220000) para 30 anos:,1993-01-01,2023-01-01,36220000,1993,2023,2008.0
102,102,Melhor janela de dados (39550000) para 30 anos:,1993-01-01,2023-01-01,39550000,1993,2023,2008.0
103,103,Melhor janela de dados (35223000) para 30 anos:,1993-01-01,2023-01-01,35223000,1993,2023,2008.0
104,104,Melhor janela de dados (39345000) para 30 anos:,1993-01-01,2023-01-01,39345000,1993,2023,2008.0
105,105,Melhor janela de dados (38129000) para 30 anos:,1993-01-01,2023-01-01,38129000,1993,2023,2008.0
106,106,Melhor janela de dados (39154000) para 30 anos:,1993-01-01,2023-01-01,39154000,1993,2023,2008.0
107,107,Melhor janela de dados (39450000) para 30 anos:,1993-01-01,2023-01-01,39450000,1993,2023,2008.0
108,108,Melhor janela de dados (39084000) para 30 anos:,1993-01-01,2023-01-01,39084000,1993,2023,2008.0
109,109,Melhor janela de dados (39530000) para 30 anos:,1993-01-01,2023-01-01,39530000,1993,2023,2008.0
110,110,Melhor janela de dados (38580000) para 30 anos:,1993-01-01,2023-01-01,38580000,1993,2023,2008.0
111,111,Melhor janela de dados (35350000) para 30 anos:,1993-01-01,2023-01-01,35350000,1993,2023,2008.0
112,112,Melhor janela de dados (38771000) para 30 anos:,1993-01-01,2023-01-01,38771000,1993,2023,2008.0
113,113,Melhor janela de dados (39970000) para 30 anos:,1993-01-01,2023-01-01,39970000,1993,2023,2008.0
114,114,Melhor janela de dados (36386000) para 30 anos:,1993-01-01,2023-01-01,36386000,1993,2023,2008.0
115,115,Melhor janela de dados (38887000) para 30 anos:,1993-01-01,2023-01-01,38887000,1993,2023,2008.0
116,116,Melhor janela de dados (37050000) para 30 anos:,1993-01-01,2023-01-01,37050000,1993,2023,2008.0
117,117,Melhor janela de dados (37297000) para 30 anos:,1993-01-01,2023-01-01,37297000,1993,2023,2008.0
118,118,Melhor janela de dados (35900000) para 30 anos:,1993-01-01,2023-01-01,35900000,1993,2023,2008.0
119,119,Melhor janela de dados (35205000) para 30 anos:,1993-01-01,2023-01-01,35205000,1993,2023,2008.0
120,120,Melhor janela de dados (39195000) para 30 anos:,1993-01-01,2023-01-01,39195000,1993,2023,2008.0
121,121,Melhor janela de dados (39191000) para 30 anos:,1993-01-01,2023-01-01,39191000,1993,2023,2008.0
122,122,Melhor janela de dados (36630000) para 30 anos:,1993-01-01,2023-01-01,36630000,1993,2023,2008.0
123,123,Melhor janela de dados (37526000) para 30 anos:,1993-01-01,2023-01-01,37526000,1993,2023,2008.0
124,124,Melhor janela de dados (39950000) para 30 anos:,1993-01-01,2023-01-01,39950000,1993,2023,2008.0
125,125,Melhor janela de dados (39650000) para 30 anos:,1993-01-01,2023-01-01,39650000,1993,2023,2008.0
126,126,Melhor janela de dados (39850000) para 30 anos:,1982-01-01,2012-01-01,39850000,1982,2012,1997.0
127,127,Melhor janela de dados (35279000) para 30 anos:,1977-01-01,2007-01-01,35279000,1977,2007,1992.0
128,128,Melhor janela de dados (39431000) para 30 anos:,1993-01-01,2023-01-01,39431000,1993,2023,2008.0
129,129,Melhor janela de dados (39620000) para 30 anos:,1993-01-01,2023-01-01,39620000,1993,2023,2008.0
130,130,Melhor janela de dados (39541000) para 30 anos:,1993-01-01,2023-01-01,39541000,1993,2023,2008.0
131,131,Melhor janela de dados (39433000) para 30 anos:,1993-01-01,2023-01-01,39433000,1993,2023,2008.0
132,132,Melhor janela de dados (39590000) para 30 anos:,1993-01-01,2023-01-01,39590000,1993,2023,2008.0
133,133,Melhor janela de dados (37320000) para 30 anos:,1993-01-01,2023-01-01,37320000,1993,2023,2008.0
134,134,Melhor janela de dados (39370100) para 30 anos:,1993-01-01,2023-01-01,39370100,1993,2023,2008.0
135,135,Melhor janela de dados (39570000) para 30 anos:,1993-01-01,2023-01-01,39570000,1993,2023,2008.0
136,136,Melhor janela de dados (38888000) para 30 anos:,1993-01-01,2023-01-01,38888000,1993,2023,2008.0
137,137,Melhor janela de dados (39082000) para 30 anos:,1993-01-01,2023-01-01,39082000,1993,2023,2008.0
138,138,Melhor janela de dados (39890000) para 30 anos:,1978-01-01,2008-01-01,39890000,1978,2008,1993.0
139,139,Melhor janela de dados (35301000) para 30 anos:,1993-01-01,2023-01-01,35301000,1993,2023,2008.0
140,140,Melhor janela de dados (35871000) para 30 anos:,1993-01-01,2023-01-01,35871000,1993,2023,2008.0
141,141,Melhor janela de dados (39189550) para 30 anos:,1993-01-01,2023-01-01,39189550,1993,2023,2008.0
142,142,Melhor janela de dados (35370600) para 30 anos:,1993-01-01,2023-01-01,35370600,1993,2023,2008.0
143,143,Melhor janela de dados (37730000) para 30 anos:,1993-01-01,2023-01-01,37730000,1993,2023,2008.0
144,144,Melhor janela de dados (37412000) para 30 anos:,1993-01-01,2023-01-01,37412000,1993,2023,2008.0
145,145,Melhor janela de dados (39571000) para 30 anos:,1993-01-01,2023-01-01,39571000,1993,2023,2008.0
146,146,Melhor janela de dados (35390000) para 30 anos:,1993-01-01,2023-01-01,35390000,1993,2023,2008.0
147,147,Melhor janela de dados (39192000) para 30 anos:,1989-01-01,2019-01-01,39192000,1989,2019,2004.0
148,148,Melhor janela de dados (35156000) para 30 anos:,1993-01-01,2023-01-01,35156000,1993,2023,2008.0
149,149,Melhor janela de dados (35669100) para 30 anos:,1993-01-01,2023-01-01,35669100,1993,2023,2008.0
150,150,Melhor janela de dados (39800000) para 30 anos:,1993-01-01,2023-01-01,39800000,1993,2023,2008.0
151,151,Melhor janela de dados (36586000) para 30 anos:,1993-01-01,2023-01-01,36586000,1993,2023,2008.0
152,152,Melhor janela de dados (35640000) para 30 anos:,1993-01-01,2023-01-01,35640000,1993,2023,2008.0
153,153,Melhor janela de dados (39880000) para 30 anos:,1993-01-01,2023-01-01,39880000,1993,2023,2008.0
154,154,Melhor janela de dados (38340000) para 30 anos:,1993-01-01,2023-01-01,38340000,1993,2023,2008.0
155,155,Melhor janela de dados (39190800) para 30 anos:,1989-01-01,2019-01-01,39190800,1989,2019,2004.0
156,156,Melhor janela de dados (36615000) para 30 anos:,1993-01-01,2023-01-01,36615000,1993,2023,2008.0
157,157,Melhor janela de dados (35875500) para 30 anos:,1993-01-01,2023-01-01,35875500,1993,2023,2008.0
158,158,Melhor janela de dados (36515000) para 30 anos:,1993-01-01,2023-01-01,36515000,1993,2023,2008.0
159,159,Melhor janela de dados (35283000) para 30 anos:,1993-01-01,2023-01-01,35283000,1993,2023,2008.0
160,160,Melhor janela de dados (37750000) para 30 anos:,1993-01-01,2023-01-01,37750000,1993,2023,2008.0
161,161,Melhor janela de dados (35255000) para 30 anos:,1993-01-01,2023-01-01,35255000,1993,2023,2008.0
162,162,Melhor janela de dados (36370000) para 30 anos:,1949-01-01,1979-01-01,36370000,1949,1979,1964.0
163,163,Melhor janela de dados (37413000) para 30 anos:,1993-01-01,2023-01-01,37413000,1993,2023,2008.0
164,164,Melhor janela de dados (38690000) para 30 anos:,1993-01-01,2023-01-01,38690000,1993,2023,2008.0
165,165,Melhor janela de dados (36110000) para 30 anos:,1953-01-01,1983-01-01,36110000,1953,1983,1968.0
166,166,Melhor janela de dados (39220000) para 30 anos:,1985-01-01,2015-01-01,39220000,1985,2015,2000.0
167,167,Melhor janela de dados (35551000) para 30 anos:,1993-01-01,2023-01-01,35551000,1993,2023,2008.0
168,168,Melhor janela de dados (36517500) para 30 anos:,1989-01-01,2019-01-01,36517500,1989,2019,2004.0
169,169,Melhor janela de dados (35251000) para 30 anos:,1989-01-01,2019-01-01,35251000,1989,2019,2004.0
170,170,Melhor janela de dados (37604000) para 30 anos:,1993-01-01,2023-01-01,37604000,1993,2023,2008.0
171,171,Melhor janela de dados (37580000) para 30 anos:,1989-01-01,2019-01-01,37580000,1989,2019,2004.0
172,172,Melhor janela de dados (39852000) para 30 anos:,1993-01-01,2023-01-01,39852000,1993,2023,2008.0
173,173,Melhor janela de dados (39540750) para 30 anos:,1993-01-01,2023-01-01,39540750,1993,2023,2008.0
174,174,Melhor janela de dados (35571000) para 30 anos:,1986-01-01,2016-01-01,35571000,1986,2016,2001.0
175,175,Melhor janela de dados (37369100) para 30 anos:,1993-01-01,2023-01-01,37369100,1993,2023,2008.0
176,176,Melhor janela de dados (39689000) para 30 anos:,1993-01-01,2023-01-01,39689000,1993,2023,2008.0
177,177,Melhor janela de dados (39715000) para 30 anos:,1993-01-01,2023-01-01,39715000,1993,2023,2008.0
178,178,Melhor janela de dados (39690000) para 30 anos:,1993-01-01,2023-01-01,39690000,1993,2023,2008.0
179,179,Melhor janela de dados (35270000) para 30 anos:,1946-01-01,1976-01-01,35270000,1946,1976,1961.0
180,180,Melhor janela de dados (36230000) para 30 anos:,1945-01-01,1975-01-01,36230000,1945,1975,1960.0
181,181,Melhor janela de dados (37710100) para 30 anos:,1950-01-01,1980-01-01,37710100,1950,1980,1965.0
182,182,Melhor janela de dados (39190000) para 30 anos:,1978-01-01,2008-01-01,39190000,1978,2008,1993.0
183,183,Melhor janela de dados (39745000) para 30 anos:,1990-01-01,2020-01-01,39745000,1990,2020,2005.0
184,184,Melhor janela de dados (38490000) para 30 anos:,1945-01-01,1975-01-01,38490000,1945,1975,1960.0
185,185,Melhor janela de dados (39480300) para 30 anos:,1990-01-01,2020-01-01,39480300,1990,2020,2005.0
186,186,Melhor janela de dados (39490000) para 30 anos:,1989-01-01,2019-01-01,39490000,1989,2019,2004.0
187,187,Melhor janela de dados (39863500) para 30 anos:,1989-01-01,2019-01-01,39863500,1989,2019,2004.0
188,188,Melhor janela de dados (39190500) para 30 anos:,1974-01-01,2004-01-01,39190500,1974,2004,1989.0
189,189,Melhor janela de dados (38390000) para 30 anos:,1942-01-01,1972-01-01,38390000,1942,1972,1957.0
190,190,Melhor janela de dados (38590000) para 30 anos:,1945-01-01,1975-01-01,38590000,1945,1975,1960.0
